#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
44	1	2	0.651280476997	-1.0829304468	359.739634336	0.908840827412	0.314702144051	1.16730278347	1.22449768692	-0.819989753743
44	2	1	0.648587860684	-1.1685530616	359.737576846	0.824204924557	0.312713149047	1.08248378456	1.22280239809	-0.90537877168
44	2	2	0.598755310448	-1.0663174979	359.688305664	0.925996615589	0.263186838238	1.18406671798	1.17230979687	-0.803720470913
45	1	1	0.952224661857	1.18874948553	1.82462927896	-0.821031743853	1.24461682469	-1.06858159213	0.372979887244	0.936814296855
45	1	2	1.00013308025	1.08555497435	1.871690368	-0.922802160387	1.29198720822	-1.17112156824	0.421659496259	0.833957345506
45	2	1	1.00481887452	1.17196948472	1.87621351226	-0.83806405439	1.29602665549	-1.08521253892	0.4253381729	0.92059140721
45	2	2	1.05248667078	1.06883010322	1.92321038145	-0.939882087831	1.34351892007	-1.18781087047	0.473810791587	0.817713752901
46	1	1	1.62621424093	1.19038331284	2.49376488214	-0.821491342635	1.91309211376	-1.06749026383	1.046607201	0.940128023815
46	1	2	1.67386880021	1.08714007316	2.54057663352	-0.923304564513	1.96023172428	-1.17011832028	1.09490069429	0.837110745059
46	2	1	1.67763603317	1.17266769355	2.54418001468	-0.839815945978	1.96330896512	-1.08535605881	1.09772480708	0.922283565236
46	2	2	1.72508344413	1.06935392231	2.59088536292	-0.941682762261	2.010529934	-1.18805730146	1.14599151872	0.819174215822
47	1	1	2.29772789879	1.18967225673	3.16066408809	-0.824360441397	2.57922142966	-1.06896794321	1.7176273194	0.940564943874
47	1	2	2.34516665585	1.08628453842	3.20715481037	-0.926386981169	2.62621979079	-1.1718136717	1.76572664358	0.837330553992
47	2	1	2.35065556428	1.17319363902	3.21208880491	-0.841674188736	2.63062426547	-1.08580302368	1.77037625401	0.924500353087
47	2	2	2.39806264191	1.06968946006	3.25864374019	-0.944655668015	2.67743906094	-1.18858557001	1.81821928519	0.821273204327
48	1	1	2.97115511385	1.18995305518	3.82830216811	-0.826195375917	3.24648390333	-1.06947349986	2.39000874344	0.942437818103
